(-41.00, 0.04, 35.00)|10.81917
(-1.00, 0.04, -26.00)|6.695517
(-41.00, 0.04, -35.00)|6.222508
(-1.00, 0.04, 23.83)|5.397983
(-16.00, 0.04, 7.66)|5.276917
(11.98, 0.04, -41.00)|5.08544
(22.43, 0.04, -26.00)|4.281476
(-16.00, 0.04, -7.66)|4.278299
(-27.34, 0.04, -13.67)|4.137792
(-40.53, 0.04, -16.67)|3.849039
(-16.00, 0.04, 35.00)|3.409131
(-1.00, 0.04, 0.00)|3.392276
(-24.33, 0.04, 37.42)|3.186861
(14.00, 0.04, 7.66)|2.295204
(14.00, 0.04, -7.66)|2.150029
(22.43, 0.04, 24.00)|2.117735
(27.34, 0.04, -13.67)|1.82
(-27.34, 0.04, 13.67)|1.568016
(14.00, 0.04, -35.00)|1.443365
(29.90, 0.04, -38.50)|1.258512
(13.00, 0.04, -1.00)|1.183077
(-22.43, 0.04, -26.00)|0.8274407
(-13.00, 0.04, -1.00)|0.5974771
(14.00, 0.04, 35.00)|0
(27.34, 0.04, 13.67)|0
(-41.00, 0.04, 0.00)|0
(40.53, 0.04, -16.67)|0
(-16.00, 0.04, -35.00)|0
(-24.33, 0.04, -37.42)|0
(-29.90, 0.04, -38.50)|0
(-11.80, 0.04, -41.00)|0
(-40.53, 0.04, 16.67)|0
(40.53, 0.04, 16.67)|0
(29.90, 0.04, 36.50)|0
(24.33, 0.04, 37.42)|0
(24.33, 0.04, -37.42)|0
(-22.43, 0.04, 24.00)|0
